,importance_step,importance_hour,importance_day,average_importance
rotor_rpm,66.31166,55.351143,0.41954783,40.69412
rotor_rpm_max,12.901192,12.674583,1.0262457,8.86734
wind_speed_nacelle_max,0.14717342,0.874555,19.37328,6.798336
wind_speed,0.10257908,3.650011,12.208591,5.320394
sonic_wind_speed,10.3010025,0.4894355,2.3770046,4.3891473
wind_speed_cube,0.34444854,4.620795,6.2208014,3.7286816
power_1h_mean,0.1874378,1.4614145,8.524495,3.391116
season_sin,0.10171406,0.71456057,6.649182,2.4884856
quarter_cos,0.0,0.12952676,7.015202,2.3815763
wind_speed_max,1.9823227,1.9335412,1.5228827,1.8129154
power_1h_min,0.255077,0.47156328,4.247267,1.657969
ws_u,0.45357892,1.7020581,2.3110366,1.4888912
logger_temperature,0.14954765,0.69535327,2.4373314,1.0940775
season,0.04628062,0.394591,2.178799,0.87322354
month_sin,0.08746721,0.5675468,1.4853675,0.7134605
wind_speed_nacelle,1.1078986,0.18181232,0.79445624,0.69472235
hour_cos,0.14445795,0.37225756,1.5456334,0.68744963
quarter_sin,0.11098253,0.3171403,1.0437886,0.49063715
power_1h_max,0.20914347,0.40626734,0.78586125,0.4670907
quarter,0.059636362,0.327621,1.0080155,0.46509096
hour,0.168813,0.7607391,0.4648949,0.46481565
hour_sin,0.08256618,0.5317034,0.7747632,0.46301094
wind_speed_min,0.3677534,0.36944127,0.49792925,0.41170797
month_cos,0.10158343,0.47541577,0.6500568,0.40901867
act_position,0.11853857,0.49308366,0.48335683,0.364993
wind_direction,0.14253372,0.6647011,0.27527338,0.36083606
power_24h_max,0.10516975,0.3774226,0.48115736,0.3212499
month,0.07164645,0.2194811,0.65602106,0.3157162
UST,0.12870184,0.4647809,0.34638003,0.3132876
power_24h_min,0.0743435,0.24850436,0.6029251,0.30859098
day_sin,0.05221581,0.1984797,0.67189276,0.30752942
power_24h_mean,0.110383496,0.30923417,0.49624833,0.30528867
HS,0.13592039,0.3876857,0.38790917,0.3038384
power_12h_min,0.05932238,0.24871673,0.5988539,0.30229768
power_24h_std,0.07669544,0.2664955,0.524488,0.2892263
LMO,0.10653834,0.4108233,0.34947103,0.2889442
day,0.058133084,0.19849858,0.6027265,0.28645274
air_temperature,0.13284652,0.27322388,0.43007916,0.27871653
power_12h_mean,0.0669575,0.34196222,0.384618,0.26451257
air_density,0.06716412,0.20117718,0.5231149,0.26381874
tilt_Y_std,0.20003077,0.37218618,0.2116698,0.2612956
tilt_X_std,0.33865523,0.1809755,0.26066685,0.2600992
power_12h_max,0.069169976,0.21040861,0.48175976,0.25377944
battery_V,0.097686335,0.3849463,0.25296524,0.24519928
day_cos,0.056390792,0.12512976,0.5439922,0.24183758
sonic_wind_direction,0.08527055,0.29801157,0.3321548,0.23847897
rotor_rpm_min,0.1623901,0.38653776,0.13870604,0.22921129
tilt_X,0.08048242,0.17615984,0.41685203,0.22449811
sonic_temperature,0.07229632,0.26813433,0.30933926,0.21658997
power_12h_std,0.07334827,0.19775762,0.37527895,0.21546161
relative_humidity,0.09164644,0.19299635,0.35276413,0.21246898
air_pressure,0.07378817,0.21507923,0.33731216,0.20872653
ws_w_corrected,0.0894263,0.21881638,0.27806854,0.19543707
wind_direction_std,0.29344672,0.23814751,0.04761495,0.19306971
ws_v,0.09828597,0.28642678,0.19082136,0.1918447
power_1h_std,0.09446349,0.16750318,0.30521563,0.18906076
TKE,0.10430715,0.23444799,0.19707847,0.1786112
UST_flag,0.09184295,0.14196515,0.30173495,0.17851436
wind_speed_nacelle_min,0.14176178,0.10313263,0.27222085,0.17237175
HS_flag,0.080103695,0.11573436,0.30540246,0.16708016
tilt_Y,0.053736806,0.12078028,0.31462184,0.16304632
ws_w,0.0855254,0.23240998,0.13482378,0.15091972
season_cos,0.0955279,0.13850573,0.21813221,0.15072195
wind_speed_std,0.13899316,0.21645918,0.04385177,0.13310137
