,importance_step,importance_hour,importance_day,average_importance
current_l1_/_u_(a),19.960056,18.362093,39.057037,25.793062
current_l3_/_w_(a),24.88608,46.08553,0.00024826892,23.657288
apparent_power_(kva),17.786413,12.87863,0.0,10.221681
grid_current_(a),17.429539,5.8044696,0.013177229,7.749062
current_l2_/_v_(a),14.226951,3.895657,0.0031743569,6.0419273
power_1h_mean,0.6170261,4.924436,6.7249165,4.088793
power_1h_max,0.14771448,1.9920267,4.3811617,2.1736343
potential_power_primary_reference_turbines_(kw),0.036429342,0.032113377,5.6606708,1.909738
potential_power_reference_turbines_(kw),0.17094085,0.7822338,2.6306033,1.1945926
quarter_cos,0.013018847,0.02445768,2.9390118,0.99216276
month_cos,0.012217972,0.04777408,2.3931508,0.8177143
density_adjusted_wind_speed_(m/s),0.14753626,0.040082823,2.0633562,0.750325
reactive_power_(kvar),0.17663349,0.1736138,1.4868697,0.61237234
cascading_potential_power_for_performance_(kw),0.08926553,0.178078,1.3948506,0.5540647
generator_rpm_(rpm),0.6864474,0.97296077,0.0022944014,0.55390084
energy_import_(kwh),0.018280413,0.05228987,1.3139648,0.4615117
season,0.0,0.0,1.3132269,0.43774232
reactive_energy_export_(kvarh),0.01341351,0.020680733,1.2754539,0.43651605
yaw_bearing_angle_(°),0.03711462,0.055658527,1.0611537,0.38464227
long_term_wind_(m/s),0.037042033,0.06894114,1.0033306,0.36977124
reactive_energy_import_(kvarh),0.02380097,0.038922254,1.0147252,0.35914946
nacelle_position_(°),0.036154594,0.08083811,0.83579934,0.31759736
power_12h_max,0.015076987,0.034947712,0.892089,0.3140379
power_24h_max,0.014222121,0.04958046,0.82899,0.29759753
energy_budget___default_(kwh),0.011304919,0.045884375,0.7980651,0.2850848
wind_direction_(°),0.033768993,0.06723099,0.73941654,0.28013885
quarter,0.0,0.0,0.78496796,0.261656
reactive_energy_import_counter_(kvarh),0.013811439,0.031483717,0.6854863,0.24359383
cable_windings_from_calibration_point,0.01142081,0.032760024,0.66473424,0.23630501
month,0.016191142,0.027324302,0.66482776,0.2361144
energy_export_counter_(kwh),0.012974433,0.022909928,0.66814536,0.23467658
day_sin,0.013914323,0.031246167,0.6148814,0.22001396
day,0.011886864,0.026763925,0.6147306,0.2177938
gear_oil_pump_pressure_(bar),0.012815067,0.021579806,0.60559547,0.2133301
metal_particle_count_counter,0.01252023,0.031272817,0.59051836,0.21143712
power_24h_min,0.01003831,0.03045283,0.5866884,0.20905985
